UniqueCount	AmbigCount
404	0
1415	0
736	0
919	2895
430	0
1656	0
10640	0
102	1
420	0
1	5
1	605
5564	0
15818	0
347	1179
7187	0
7	36
0	0
1	6
2290	0
229	759
3030	0
1663	259
3795	467
882	0
0	0
2	144
99	262
1714	0
63	314
104	7
3773	0
6714	0
379	0
3661	0
73	881
0	772
183	0
265	0
1	102
1119	81
1	597
511	0
148	58
678	0
580	0
435	217
77	0
27	254
14	777
164	0
311	0
19	0
5072	27
0	2416
2017	0
0	48
740	1234
0	4
385	866
10115	2
5884	0
7328	0
4706	0
401	691
495	2715
99	0
0	152
67	435
7242	0
703	0
4238	0
633	591
654	0
175	0
486	0
1117	0
144	7
2	30
45	49
423	0
16	108
152	0
0	0
1752	0
436	1189
1161	0
3	2097
418	1145
951	0
562	0
136	413
26	0
66	71
133	0
82	124
564	12
6	2325
1272	0
4	0
1528	0
7721	0
5262	0
1727	0
198	212
1177	0
23	645
16	78
0	0
439	905
5286	0
5191	0
314	1720
8	4
1417	0
241	0
552	0
14	0
713	0
520	174
552	1599
2896	0
752	2573
2125	0
4	36
8	102
15	481
152	1619
0	961
4553	910
626	0
4182	0
0	9
345	144
8	0
0	422
488	0
536	0
9377	0
5	137
377	0
55	0
349	561
1304	0
3152	0
2631	0
1928	0
53	580
65	0
562	0
85	217
602	0
155	3262
497	0
183	0
19	0
0	1002
44	3243
84	982
176	801
2060	0
809	0
2184	0
2896	0
23	0
1761	2
537	255
1429	0
9	0
6568	9
17	72
74	71
0	0
589	6
0	149
1013	0
76	0
1943	0
66	0
272	0
159	0
0	1242
106	1276
500	1315
2602	0
7899	0
300	420
830	937
53	34
100	315
377	275
401	17
151	0
10586	0
467	708
617	1099
49	4908
60	59
6	111
2291	191
1048	2042
161	174
0	0
158	1742
370	0
376	0
6	143
0	533
0	629
1	1
1203	0
1343	277
329	0
3	777
320	549
19	363
958	0
0	0
298	25
80	0
390	0
9	18
14	0
462	6627
274	0
49	0
161	183
972	46
498	654
245	7
428	0
2	18
0	34
2689	0
201	163
1706	0
190	0
878	0
110	347
24	143
122	0
0	445
1786	0
335	0
1205	1317
437	0
4	0
13057	1
800	0
2525	0
6	64
772	0
2293	891
2051	0
602	4053
866	0
49	0
183	494
1	137
223	134
681	0
4423	8
0	2596
233	2789
22	0
0	242
27	0
1199	0
1812	3
628	0
21	0
13	0
55	23
0	176
18	54
2546	0
589	0
333	0
212	0
21	711
688	0
1350	4
29	617
1400	0
61	43
1320	0
856	0
299	0
1559	0
821	0
443	650
402	0
814	0
2755	0
4	0
1	0
833	0
451	511
277	0
521	0
999	0
506	0
772	0
267	0
41	0
912	0
2	82
10	78
195	0
0	49
2	1096
2	0
10	0
243	0
89	0
0	2034
21	158
81	2056
481	0
2	0
13	0
50	5
62	420
491	203
13	67
761	0
34	198
2	1143
1205	0
19	598
0	0
489	0
559	0
3143	89
19	0
61	43
2460	0
77	780
17	56
106	24
588	75
27	0
1542	0
851	1
18	309
21	1
14	671
7	1496
63	2427
78	0
3635	0
4165	0
356	658
0	0
621	0
0	86
7	6
1124	0
1967	0
2926	33
13	34
4566	0
813	0
698	0
3	0
75	114
45	0
280	0
5	14
0	0
0	215
5	4
1100	0
1566	0
471	0
917	0
1970	0
392	0
599	0
182	847
0	3887
435	0
683	0
715	0
333	428
1	13
111	0
426	0
540	0
313	0
25	368
0	519
1039	0
16	116
856	0
73	386
0	2
257	464
3	893
2907	0
419	0
1	0
539	0
1298	7
0	0
0	2
691	0
1589	0
10	2
1657	0
8	0
82	697
370	224
272	0
402	980
0	127
159	61
3732	14989
157	0
380	0
514	9
3909	0
711	0
114	271
5626	0
8379	837
283	0
374	143
1108	19205
1622	0
402	460
231	0
924	0
759	0
435	0
955	430
377	0
13	214
123	1463
1686	0
1012	0
738	0
4055	0
6429	0
6	417
1036	0
17	4974
508	0
58	61
1873	0
2033	0
0	3161
1086	0
0	383
3245	99
2286	0
247	0
0	5207
1107	5948
3160	0
236	37
3299	0
813	0
132	418
1675	0
6	2658
257	0
16033	1
241	0
4053	0
614	0
32	469
32	1304
829	0
187	0
0	865
2491	0
314	0
4600	0
866	3
59	252
550	0
170	1898
2618	0
1522	4
0	6597
331	0
871	0
77	456
1947	2036
884	459
2414	0
164	0
1047	1292
2004	6058
96	576
1794	2
1722	0
2461	0
1104	0
7	242
11049	0
428	138
3	35
3095	27575
286	0
553	128
1461	0
831	0
1170	5
1174	0
1119	0
437	295
1326	0
9	3211
679	466
14	37
3273	0
137	0
6	0
177	51
79	0
852	0
1572	0
0	0
800	0
2	307
3216	0
1075	1
85	0
121	4
4	0
0	0
245	174
0	0
1436	0
7	0
6	0
2241	0
1010	0
24	0
613	0
3	24
15	121
0	3657
182	846
2	0
15163	0
973	0
121	0
10	381
359	0
0	56
388	1945
135	900
0	506
15	121
548	6
1618	0
2820	11288
17	110
1139	0
542	0
71	250
336	0
721	0
29	218
777	0
288	0
773	0
1182	0
217	0
1377	0
451	0
11	143
170	0
442	0
8	360
9	0
1929	0
189	0
342	3899
10	886
931	191
193	0
21	282
437	0
804	0
313	810
1111	0
1814	0
136	6317
118	13
168	679
408	0
2256	0
334	0
10964	21
0	62
2459	0
133	539
129	16
63	364
564	0
1139	50
2585	0
111	649
157	857
129	5255
11	306
65	0
232	91
733	0
2463	1230
1527	2537
569	467
187	0
101	135
32	0
0	368
5358	0
21	0
243	1055
57	4181
1293	0
977	0
36	47
367	0
1041	0
538	1
1774	0
50	0
36	179
638	0
102	11
1064	0
0	2
2574	0
55	43
1368	0
610	1
584	406
2718	0
272	1316
1371	3
2291	0
962	119
905	0
3	0
26	729
1370	0
883	0
634	0
89	31
2137	0
547	0
153	0
0	942
4541	0
315	0
177	774
884	0
329	32
25	0
2	581
1159	0
42	163
235	202
256	455
945	0
276	1
2	0
1593	88
3	111
112	971
2003	3
1156	0
0	113
3325	0
614	1070
1	15
34	0
417	0
2	0
371	687
19	207
78	363
0	568
387	0
71	785
1215	0
1669	534
276	0
33	0
1000	0
66	34
589	3
2	70
4121	0
645	0
2407	0
278	0
8006	0
2061	0
483	0
975	0
763	380
133	2151
187	0
484	0
41	0
714	0
1216	0
600	0
1367	0
2075	0
427	0
816	0
132	153
1779	0
730	1009
179	0
732	1
2279	1
148	0
1269	0
2072	0
0	0
2183	0
51	0
444	0
6	0
7022	0
1240	262
136	2089
682	0
956	0
1648	0
74	0
3029	0
452	0
2667	0
608	0
6777	0
238	0
2	0
1181	6820
2	0
2371	0
0	0
642	0
18	168
532	0
516	515
2563	0
998	0
78	81
2	143
2477	0
11	289
120	0
157	157
775	918
25	351
547	382
28	0
101	0
288	0
4016	0
126	0
12	693
0	298
421	0
1377	0
207	0
154	49
1332	0
16	14
456	0
41	0
625	0
760	754
27	0
2701	3569
3	0
7	23
2	0
183	0
760	0
502	0
116	817
2105	22
208	7
0	3
692	6
16	0
0	17
145	1062
4	0
8	0
59	76
1159	0
3	0
470	0
2599	0
1442	155
591	0
95	0
0	305
1	0
22	205
1205	0
647	0
2749	0
1895	0
45	859
922	661
229	0
622	49
127	2636
2816	0
171	68
241	0
6	53
392	0
1144	26
69	174
200	0
25	17
360	0
966	0
3	0
100	1304
7	41
193	235
425	58
465	0
34	482
39	12
129	0
829	0
150	120
42	13
38	2809
328	0
688	0
146	172
228	0
1451	0
333	0
81	0
380	0
311	0
1696	175
50	59
202	0
136	353
10	6
42	26
705	0
968	0
350	0
0	301
58	111
1923	0
321	0
447	0
0	5
385	164
21	18
683	0
462	0
8	14
5	0
1	306
5	0
0	22
76	142
56	204
20	0
0	4959
505	0
200	0
397	1
638	279
0	0
115	0
176	0
560	91
748	0
213	26
77	0
401	259
56	46
1468	0
0	2464
404	210
264	91
0	1
530	14951
2735	0
249	0
8	142
311	217
310	8
52	872
130	1382
1204	0
4	49
970	291
629	0
683	0
435	149
8	1
2	285
1285	972
20	0
481	0
29	149
1515	0
2391	0
2880	2612
71	816
4	0
1737	0
649	0
365	912
264	0
178	0
339	0
63	0
1	0
476	0
706	161
122	0
84	864
86	24
4212	0
100	330
54	471
1003	0
134	4
0	2
10374	0
0	0
1357	0
90	1031
0	62
0	0
346	0
2164	0
12	1
5	0
0	1092
1518	0
2914	0
0	3969
54	0
662	0
5241	238
3484	0
7822	26
50	218
0	10
6	762
3	0
104	0
146	928
37	0
747	0
0	0
939	5
1543	0
1187	0
459	0
25	0
843	0
2031	0
59	600
13	92
340	0
131	0
0	15
43	0
438	146
21	41
746	5
231	486
270	149
41	114
639	671
54	0
100	121
27	40
610	0
3	45
20	453
2013	0
2486	0
3706	5110
75	1342
1447	0
64	261
148	0
515	0
1165	831
7958	0
23	14150
475	0
1457	10551
802	0
447	4009
0	662
24	1229
2	18
1451	0
24	0
0	2
1045	0
1544	820
455	10
179	0
383	0
119	124
360	0
101	0
83	124
38	0
0	3198
163	2
2	130
219	488
5169	104
8008	1028
501	0
194	0
24	0
739	0
772	3323
682	0
4138	0
0	107
77	91
2	680
0	0
149	0
180	65
2072	0
141	0
4639	0
46	116
8444	281
0	0
501	1
433	0
1986	0
189	241
0	4116
801	0
322	58
0	1110
314	0
1677	0
1315	1070
10	2107
778	0
456	484
8	426
316	0
327	0
1809	0
288	0
469	0
1823	0
2088	0
313	0
343	0
0	157
0	0
3	0
529	0
164	0
0	839
47	0
250	136
0	180
8	10
179	277
3297	0
532	0
1	118
0	4088
7	0
278	258
153	3411
891	0
3	996
1096	52
0	2860
182	145
657	0
519	0
1780	1752
105	202
166	0
1884	0
188	844
766	0
2937	0
409	2896
555	530
839	2460
0	364
500	0
107	1941
268	0
2	15
85	0
4	30
399	0
0	950
11	164
2667	42
1681	1844
1509	665
17720	0
6	2185
2369	0
21	47
181	0
971	0
0	989
337	0
197	210
1	505
468	0
32	0
395	0
394	236
64	652
40	0
385	3
85	0
4241	0
5	132
79	918
0	253
2808	1
0	1425
5319	1275
1918	12572
13	5929
212	54
318	1048
453	1
0	69
275	0
1	5
1109	267
670	0
820	615
27	405
219	211
839	0
464	363
0	40
1068	0
24	172
87	843
49	0
141	3096
873	0
605	0
208	480
692	0
830	1943
2	0
1188	0
695	0
750	0
23	4
211	3952
2043	0
153	0
763	0
12	26
1099	2348
398	0
594	153
514	0
1464	0
956	0
22	0
2177	0
7374	0
0	38
1280	1171
1417	9
3669	0
91	148
293	1
756	0
220	0
38	0
543	0
519	0
252	0
340	63
0	1
201	165
6	43
8	0
0	0
0	0
6	6
14	0
39	0
10	0
233	0
168	0
201	222
0	0
773	0
2	0
0	13
138	0
151	0
29	123
125	41
9	6
945	0
21	0
4	0
228	270
6440	0
339	618
31	82
0	0
1864	0
95	20
1	922
1416	0
823	0
345	0
17	0
9	0
64	297
0	0
570	0
160	281
30	0
1246	0
0	2082
1160	0
695	0
64	0
69	0
6	0
98	63
310	0
2139	0
57	393
3283	0
287	0
76	1018
954	29
456	0
147	202
53	0
1469	31
802	0
817	0
430	0
95	0
812	0
16	57
167	0
2	9
68	1084
475	0
69	48
6	0
2	0
40	0
0	36
779	12
2	15817
1263	1569
1430	0
233	0
2937	3942
17	737
116	0
0	1605
326	442
239	0
2474	4
10	33
882	0
1815	0
239	2031
0	0
0	0
0	0
184	617
4979	0
243	548
1547	0
1463	19615
1168	0
137	2290
9397	0
11160	0
1207	1043
6569	0
2342	0
2594	0
26	228
1	3357
111	55
0	0
18	0
125	0
483	0
0	1618
0	9
295	1505
553	0
0	163
71	0
4367	0
559	818
610	0
123	427
301	114
1781	10
1844	0
16	0
1039	2161
334	0
26169	358
62	236
452	0
2	2
861	15
27	689
11	107
394	0
54	376
276	1259
839	0
483	522
7	29
254	0
123	12
694	0
31	156
310	3
768	1103
836	0
0	6
1135	0
430	0
185	0
2235	0
46	156
137	53
864	0
1113	682
560	646
8	0
456	283
150	0
684	0
9493	0
11	0
0	562
10	0
1140	81
91	197
9393	2667
7304	0
2264	3
19	20
1276	0
639	0
0	5
17	1
28	0
1084	0
2	100
162	7
3	6
323	318
16	0
351	0
4	482
1	247
4	80
50	13
4	267
1	769
0	37
0	702
81	51
82	0
107	266
